registered,registration_target,decision,reason,title,primary_artist,album,album_artist,genre,duration_sec,file_path_linux,file_path_windows,file_ext,file_size_bytes
0,0,exclude,missing title tag,,,,,,264,/mnt/d/yu28s/Music/feng/3-09_友愛進化論_ハイレゾ.wav,D:\yu28s\Music\feng\3-09_友愛進化論_ハイレゾ.wav,.wav,151842920
0,0,exclude,missing title tag,,,,,,283,/mnt/d/yu28s/Music/feng/3-10_夢と色でできている_ハイレゾ.wav,D:\yu28s\Music\feng\3-10_夢と色でできている_ハイレゾ.wav,.wav,163226546
0,0,exclude,missing title tag,,,,,,212,/mnt/d/yu28s/Music/feng/3-11_これくらいで_ハイレゾ.wav,D:\yu28s\Music\feng\3-11_これくらいで_ハイレゾ.wav,.wav,122225936
0,0,exclude,missing title tag,,,,,,180,/mnt/d/yu28s/Music/feng/3-12_夢と色でできている Grand End_ハイレゾ.wav,D:\yu28s\Music\feng\3-12_夢と色でできている Grand End_ハイレゾ.wav,.wav,103708490
0,0,review,soundtrack genre and artist equals album artist,Day After Day,FreQuency,Day After Day - EP,FreQuency,Soundtrack,276,/mnt/d/yu28s/Music/FreQuency/Day After Day - EP/01 Day After Day.m4a,D:\yu28s\Music\FreQuency\Day After Day - EP\01 Day After Day.m4a,.m4a,10474471
1,0,include,tagged vocal/music candidate,fortissimo - the ultimate crisis,fripSide,Decade,fripSide,アニメ,296,/mnt/d/yu28s/Music/fripSide/Decade/03 fortissimo - the ultimate crisis.m4a,D:\yu28s\Music\fripSide\Decade\03 fortissimo - the ultimate crisis.m4a,.m4a,11034810
1,0,include,tagged vocal/music candidate,lip ripples,橋本みゆき,lip ripples - Single,Hashimoto Miyuki,アニメ,184,/mnt/d/yu28s/Music/Hashimoto Miyuki/lip ripples - Single/01 lip ripples.m4a,D:\yu28s\Music\Hashimoto Miyuki\lip ripples - Single\01 lip ripples.m4a,.m4a,6909971
1,0,include,tagged vocal/music candidate,アオイロノート,i.o.sound,アオイロノート - Single,i.o.sound,アニメ,197,/mnt/d/yu28s/Music/i.o.sound/アオイロノート - Single/01 アオイロノート.m4a,D:\yu28s\Music\i.o.sound\アオイロノート - Single\01 アオイロノート.m4a,.m4a,7310790
1,0,include,tagged vocal/music candidate,INNER CHILD,分島花音,INNER CHILD - Single,Kanon Wakeshima,J-Pop,289,/mnt/d/yu28s/Music/Kanon Wakeshima/INNER CHILD - Single/01 INNER CHILD.m4a,D:\yu28s\Music\Kanon Wakeshima\INNER CHILD - Single\01 INNER CHILD.m4a,.m4a,11110351
0,0,exclude,tag read error: ,,,,,,,/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-01-アーカイブ.flac,D:\yu28s\Music\LastLetter (LastLetter（DL版）)\00-01-アーカイブ.flac,.flac,4542946
0,0,exclude,tag read error: ,,,,,,,/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-02-君の秘密を教えて.flac,D:\yu28s\Music\LastLetter (LastLetter（DL版）)\00-02-君の秘密を教えて.flac,.flac,24993965
0,0,exclude,tag read error: ,,,,,,,/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-03-CutOutLovers.flac,D:\yu28s\Music\LastLetter (LastLetter（DL版）)\00-03-CutOutLovers.flac,.flac,33297145
0,0,exclude,tag read error: ,,,,,,,/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-04-人生脚本.flac,D:\yu28s\Music\LastLetter (LastLetter（DL版）)\00-04-人生脚本.flac,.flac,35552312
0,0,exclude,tag read error: ,,,,,,,/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-05-青色の街で.flac,D:\yu28s\Music\LastLetter (LastLetter（DL版）)\00-05-青色の街で.flac,.flac,32192176
0,0,exclude,tag read error: ,,,,,,,/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-06-I Wanna Be.flac,D:\yu28s\Music\LastLetter (LastLetter（DL版）)\00-06-I Wanna Be.flac,.flac,36229751
0,0,exclude,tag read error: ,,,,,,,/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-07-ピリオド.flac,D:\yu28s\Music\LastLetter (LastLetter（DL版）)\00-07-ピリオド.flac,.flac,36653462
